event_month,date_event_began,time_event_began,restoration_date,restoration_time,area_affected,nerc_region_list,alert_criteria,event_type,demand_loss_(mw),number_of_customers_affected,year
january,2022-01-24 00:00:00,11:50:00,2022-01-24 00:00:00,16:00:00,new york:dutchess county:greene county,['npcc'],damage or destruction of its facility that results from actual or suspected intentional human action.,sabotage,0,0,2022
january,2022-01-26 00:00:00,13:37:00,2022-01-26 00:00:00,14:15:00,florida:leon county,['serc'],complete loss of monitoring or control capability at its staffed bulk electric system control center for 30 continuous minutes or more.,system operations,0,0,2022
january,2022-01-27 00:00:00,11:30:00,2022-01-27 00:00:00,11:31:00,nevada:clark county,['wecc'],"damage or destruction of a facility within its reliability coordinator area, balancing authority area or transmission operator area that results in action(s) to avoid a bulk electric system emergency.",vandalism,0,0,2022
january,2022-01-28 00:00:00,15:41:00,2022-01-28 00:00:00,21:30:00,colorado:douglas county:pueblo county:el paso county:prowers county,['wecc'],"unexpected transmission loss within its area, contrary to design, of three or more bulk electric system facilities caused by a common disturbance (excluding successful automatic reclosing).",transmission interruption,0,0,2022
january,2022-01-29 00:00:00,08:45:00,2022-01-30 00:00:00,01:00:00,connecticut:massachusetts:new hampshire:rhode island:vermont:maine,['npcc'],"loss of electric service to more than 50,000 customers for 1 hour or more",severe weather,120,12000,2022
january,2022-01-30 00:00:00,20:41:00,2022-01-31 00:00:00,00:42:00,nebraska,['mro'],complete loss of monitoring or control capability at its staffed bulk electric system control center for 30 continuous minutes or more.,system operations,0,0,2022
january,2022-01-31 00:00:00,19:58:00,2022-01-31 00:00:00,20:10:00,west virginia:monongalia county,['rf'],"physical threat to its facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the facility. or suspicious device or activity at its facility.",suspicious activity,0,0,2022
february,2022-02-01 00:00:00,12:13:00,2022-02-01 00:00:00,12:25:00,california:yuba county,['wecc'],electrical system separation (islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,system operations,10,8124,2022
february,2022-02-03 00:00:00,10:00:00,2022-02-07 00:00:00,20:00:00,tennessee:shelby county,['serc'],"loss of electric service to more than 50,000 customers for 1 hour or more",severe weather-transmission interruption,,255000,2022
february,2022-02-03 00:00:00,12:56:00,2022-02-04 00:00:00,20:30:00,ohio,['rf'],"loss of electric service to more than 50,000 customers for 1 hour or more",severe weather-transmission interruption,,51000,2022
february,2022-02-03 00:00:00,12:56:00,nat,,ohio,['rf'],"loss of electric service to more than 50,000 customers for 1 hour or more",severe weather-transmission interruption,,51000,2022
february,2022-02-04 00:00:00,18:21:00,2022-02-04 00:00:00,22:00:00,texas,['texas re'],electrical system separation (islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,transmission interruption,,,2022
february,2022-02-04 00:00:00,13:10:00,nat,,new york:ulster county,['npcc'],"loss of electric service to more than 50,000 customers for 1 hour or more",severe weather-transmission interruption,,67404,2022
february,2022-02-09 00:00:00,07:00:00,2022-02-09 00:00:00,09:00:00,new york:orange county,['npcc'],physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,vandalism,0,0,2022
february,2022-02-12 00:00:00,16:29:00,2022-02-12 00:00:00,16:30:00,california:alameda county,['wecc'],physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,vandalism,,,2022
february,2022-02-17 00:00:00,10:30:00,2022-02-17 00:00:00,10:31:00,rhode island:providence county,['npcc'],"physical threat to its facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the facility. or suspicious device or activity at its facility.",suspicious activity,0,0,2022
february,2022-02-17 00:00:00,00:09:00,2022-02-17 00:00:00,07:36:00,louisiana:lafayette parish,['serc'],complete loss of monitoring or control capability at its staffed bulk electric system control center for 30 continuous minutes or more.,system operations,80,0,2022
february,2022-02-18 00:00:00,07:10:00,2022-02-18 00:00:00,16:25:00,connecticut:maine:massachusetts:new hampshire:vermont:rhode island,['npcc'],"loss of electric service to more than 50,000 customers for 1 hour or more",severe weather,7,7047,2022
february,2022-02-22 00:00:00,11:10:00,2022-02-22 00:00:00,12:15:00,texas:llano county,['texas re'],"physical threat to its facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the facility. or suspicious device or activity at its facility.",suspicious activity,0,0,2022
february,2022-02-24 00:00:00,10:25:00,2022-02-24 00:00:00,10:31:00,texas:montgomery county,['texas re'],"unexpected transmission loss within its area, contrary to design, of three or more bulk electric system facilities caused by a common disturbance (excluding successful automatic reclosing).",transmission interruption,3,1405,2022
february,2022-02-24 00:00:00,01:09:00,2022-02-24 00:00:00,02:59:00,california:san bernardino county:kern county:solano county:san diego county,['wecc'],complete loss of monitoring or control capability at its staffed bulk electric system control center for 30 continuous minutes or more.,system operations,246,0,2022
february,2022-02-25 00:00:00,09:31:00,2022-02-25 00:00:00,13:09:00,texas:travis county:california:san diego county,['texas re'],unplanned evacuation from its bulk electric system control center facility for 30 continuous minutes or more.,system operations,0,0,2022
february,2022-02-26 00:00:00,11:15:00,2022-02-26 00:00:00,17:00:00,washington:grant county,['wecc'],"physical threat to its facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the facility. or suspicious device or activity at its facility.",actual physical attack,0,0,2022
february,2022-02-28 00:00:00,09:25:00,2022-02-28 00:00:00,09:26:00,texas:mitchell county,['texas re'],damage or destruction of its facility that results from actual or suspected intentional human action.,vandalism,0,0,2022
march,2022-03-01 00:00:00,13:43:00,2022-03-01 00:00:00,13:47:00,indiana:marion county:shelby county:hendricks county,['rf'],"unexpected transmission loss within its area, contrary to design, of three or more bulk electric system facilities caused by a common disturbance (excluding successful automatic reclosing).",system operations,0,0,2022
march,2022-03-02 00:00:00,09:26:00,2022-03-02 00:00:00,10:05:00,north carolina:south carolina,['serc'],unplanned evacuation from its bulk electric system control center facility for 30 continuous minutes or more.,system operations,0,0,2022
march,2022-03-05 00:00:00,22:58:00,2022-03-06 00:00:00,19:38:00,illinois:dupage county,"['serc', 'rf']","unexpected transmission loss within its area, contrary to design, of three or more bulk electric system facilities caused by a common disturbance (excluding successful automatic reclosing).",system operations,0,0,2022
march,2022-03-06 00:00:00,02:30:00,2022-03-06 00:00:00,17:00:00,texas:cameron county,['texas re'],cyber event that could potentially impact electric power system adequacy or reliability,cyber event,0,0,2022
march,2022-03-08 00:00:00,13:50:00,2022-03-08 00:00:00,14:39:00,georgia:terrell county,['texas re'],"unexpected transmission loss within its area, contrary to design, of three or more bulk electric system facilities caused by a common disturbance (excluding successful automatic reclosing).",system operations,48,5855,2022
march,2022-03-10 00:00:00,08:51:00,2022-03-10 00:00:00,15:15:00,nebraska:scotts bluff county,['mro'],"unexpected transmission loss within its area, contrary to design, of three or more bulk electric system facilities caused by a common disturbance (excluding successful automatic reclosing).",transmission interruption,0,0,2022
march,2022-03-11 00:00:00,06:35:00,2022-03-11 00:00:00,07:00:00,texas:cameron county,['texas re'],"physical threat to its facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the facility. or suspicious device or activity at its facility.",suspicious activity,0,0,2022
march,2022-03-12 00:00:00,08:33:00,nat,,alabama:georgia:mississippi:florida,['serc'],"loss of electric service to more than 50,000 customers for 1 hour or more",severe weather,139,19380,2022
march,2022-03-13 00:00:00,22:15:00,2022-03-13 00:00:00,22:38:00,minnesota:hennepin county,['mro'],damage or destruction of its facility that results from actual or suspected intentional human action.,vandalism,0,0,2022
march,2022-03-14 00:00:00,09:30:00,2022-03-14 00:00:00,10:45:00,texas:cameron county,['texas re'],"physical threat to its facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the facility. or suspicious device or activity at its facility.",vandalism,0,0,2022
march,2022-03-14 00:00:00,15:45:00,nat,,new jersey,['rf'],"physical threat to its facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the facility. or suspicious device or activity at its facility.",suspicious activity,,,2022
march,2022-03-15 00:00:00,18:53:00,2022-03-15 00:00:00,20:33:00,california:lake county,['wecc'],"physical threat to its facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the facility. or suspicious device or activity at its facility.",vandalism,10,3958,2022
march,2022-03-15 00:00:00,11:11:00,2022-03-15 00:00:00,11:47:00,maine,['npcc'],complete loss of monitoring or control capability at its staffed bulk electric system control center for 30 continuous minutes or more.,system operations,0,0,2022
march,2022-03-16 00:00:00,11:28:00,2022-03-16 00:00:00,11:29:00,california:sacramento county,['wecc'],damage or destruction of its facility that results from actual or suspected intentional human action.,vandalism,0,0,2022
march,2022-03-17 00:00:00,12:59:00,1970-01-01 00:00:00,16:38:00,north carolina:durham county,['serc'],damage or destruction of its facility that results from actual or suspected intentional human action.,actual physical attack-vandalism,0,0,2022
march,2022-03-18 00:00:00,16:32:00,nat,,florida:palm beach county,['serc'],"unexpected transmission loss within its area, contrary to design, of three or more bulk electric system facilities caused by a common disturbance (excluding successful automatic reclosing).",transmission interruption,78,20423,2022
march,2022-03-20 00:00:00,17:52:00,2022-03-20 00:00:00,22:20:00,minnesota:st. louis county,['mro'],complete loss of monitoring or control capability at its staffed bulk electric system control center for 30 continuous minutes or more.,system operations,0,0,2022
march,2022-03-21 00:00:00,19:00:00,2022-03-24 00:00:00,00:00:00,texas:anderson county:bell county:bosque county:comanche county:coryell county:falls county:freestone county:hamilton county:henderson county:hill county:lampasas county:leon county:limestone county:mclennan county:milam county:mills county:robertson county:collin county:cooke county:dallas county:denton county:ellis county:erath county:fannin county:grayson county:hood county:hunt county:johnson county:kaufman county:navarro county:parker county:rains county:rockwall county:somervell county:tarrant county:van zandt county:wise county,['texas re'],"loss of electric service to more than 50,000 customers for 1 hour or more",severe weather,,170000,2022
march,2022-03-22 00:00:00,21:04:00,2022-03-22 00:00:00,21:08:00,maryland:prince george's county,['rf'],"physical threat to its facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the facility. or suspicious device or activity at its facility.",suspicious activity,0,0,2022
march,2022-03-22 00:00:00,00:06:00,2022-03-22 00:00:00,04:29:00,south dakota,['mro'],"unexpected transmission loss within its area, contrary to design, of three or more bulk electric system facilities caused by a common disturbance (excluding successful automatic reclosing).",transmission interruption,0,0,2022
march,2022-03-25 00:00:00,20:46:00,2022-03-25 00:00:00,22:48:00,maine,['npcc'],complete loss of monitoring or control capability at its staffed bulk electric system control center for 30 continuous minutes or more.,system operations,0,0,2022
march,2022-03-29 00:00:00,11:45:00,nat,,california:imperial county,['wecc'],physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,vandalism,0,0,2022
march,2022-03-29 00:00:00,16:34:00,2022-03-30 00:00:00,15:25:00,vermont:chittenden county,['npcc'],damage or destruction of its facility that results from actual or suspected intentional human action.,vandalism,0,0,2022
march,2022-03-30 00:00:00,15:45:00,nat,,louisiana:mississippi:arkansas,['serc'],"loss of electric service to more than 50,000 customers for 1 hour or more",severe weather,,66448,2022
march,2022-03-31 00:00:00,08:59:00,2022-04-01 00:00:00,19:30:00,michigan:huron county:tuscola county:st. clair county:washtenaw county:macomb county:wayne county:monroe county:oakland county:livingston county,['rf'],"loss of electric service to more than 50,000 customers for 1 hour or more",severe weather,60,70000,2022
march,2022-03-31 00:00:00,22:43:00,nat,,montana:toole county:florida:palm beach county,"['wecc', 'serc']",cyber event that could potentially impact electric power system adequacy or reliability,cyber event,0,0,2022
march,2022-03-31 00:00:00,00:04:00,2022-03-31 00:00:00,09:20:00,georgia:alabama:mississippi:florida,['serc'],"loss of electric service to more than 50,000 customers for 1 hour or more",severe weather,157,22000,2022
april,2022-04-05 00:00:00,04:40:00,2022-04-05 00:00:00,17:21:00,missouri:jackson county,"['serc', 'rf']","unexpected transmission loss within its area, contrary to design, of three or more bulk electric system facilities caused by a common disturbance (excluding successful automatic reclosing).",system operations,73,16299,2022
april,2022-04-10 00:00:00,15:41:00,2022-04-10 00:00:00,15:50:00,arkansas:pulaski county,['serc'],electrical system separation (islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,system operations,5,,2022
april,2022-04-10 00:00:00,15:41:00,2022-04-10 00:00:00,15:50:00,arkansas:pulaski county,['serc'],electrical system separation (islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,system operations,5,,2022
april,2022-04-11 00:00:00,09:15:00,2022-04-13 00:00:00,08:00:00,oregon:multnomah county:clackamas county:marion county:yamhill county:washington county,['wecc'],"loss of electric service to more than 50,000 customers for 1 hour or more",severe weather,3140,73717,2022
april,2022-04-11 00:00:00,21:37:00,2022-04-11 00:00:00,22:14:00,california:riverside county,['wecc'],damage or destruction of its facility that results from actual or suspected intentional human action.,actual physical attack,2,1337,2022
april,2022-04-11 00:00:00,20:33:00,2022-04-11 00:00:00,20:40:00,maryland:calvert county,['rf'],"physical threat to its facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the facility. or suspicious device or activity at its facility.",suspicious activity,0,0,2022
april,2022-04-11 00:00:00,20:33:00,2022-04-11 00:00:00,20:40:00,maryland:calvert county,['rf'],"physical threat to its facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the facility. or suspicious device or activity at its facility.",suspicious activity,0,0,2022
april,2022-04-12 00:00:00,17:42:00,2022-04-12 00:00:00,18:38:00,arkansas:ouachita county,['serc'],physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,actual physical attack,0,0,2022
april,2022-04-13 00:00:00,22:04:00,2022-04-14 00:00:00,00:02:00,louisiana:iberia parish,['serc'],"unexpected transmission loss within its area, contrary to design, of three or more bulk electric system facilities caused by a common disturbance (excluding successful automatic reclosing).",system operations,7,2429,2022
april,2022-04-14 00:00:00,05:59:00,2022-04-14 00:00:00,06:13:00,california:los angeles county,['wecc'],"unexpected transmission loss within its area, contrary to design, of three or more bulk electric system facilities caused by a common disturbance (excluding successful automatic reclosing).",transmission interruption,164,262268,2022
april,2022-04-16 00:00:00,12:17:00,nat,,missouri,"['serc', 'rf']",complete loss of monitoring or control capability at its staffed bulk electric system control center for 30 continuous minutes or more.,generation inadequacy,0,0,2022
april,2022-04-16 00:00:00,11:08:00,nat,,iowa:polk county:illinois,"['serc', 'mro']","unexpected transmission loss within its area, contrary to design, of three or more bulk electric system facilities caused by a common disturbance (excluding successful automatic reclosing).",system operations,0,0,2022
april,2022-04-16 00:00:00,10:45:00,nat,,washington,['wecc'],"physical threat to its facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the facility. or suspicious device or activity at its facility.",suspicious activity,0,0,2022
april,2022-04-16 00:00:00,17:44:00,nat,,california,['wecc'],electrical system separation (islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,system operations,9290,,2022
april,2022-04-16 00:00:00,05:30:00,2022-04-16 00:00:00,11:38:00,california:shasta county,['wecc'],unplanned evacuation from its bulk electric system control center facility for 30 continuous minutes or more.,system operations,0,0,2022
april,2022-04-16 00:00:00,22:55:00,2022-04-16 00:00:00,22:57:00,pennsylvania:york county,['rf'],"physical threat to its facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the facility. or suspicious device or activity at its facility.",suspicious activity,0,0,2022
april,2022-04-19 00:00:00,06:00:00,nat,,new york,['npcc'],"loss of electric service to more than 50,000 customers for 1 hour or more",severe weather,,97000,2022
april,2022-04-19 00:00:00,08:41:00,2022-04-19 00:00:00,12:10:00,connecticut:massachusetts:maine:new hampshire:rhode island:vermont,['npcc'],"loss of electric service to more than 50,000 customers for 1 hour or more",severe weather,,67754,2022
april,2022-04-19 00:00:00,04:07:00,nat,,new york:broome county:chemung county:chenango county:clinton county:columbia county:cortland county:delaware county:dutchess county:erie county:essex county:greene county:hamilton county:herkimer county:madison county:oneida county:otsego county:putnam county:saratoga county:schoharie county:schuyler county:steuben county:sullivan county:tioga county:tompkins county:ulster county:westchester county,['npcc'],"loss of electric service to more than 50,000 customers for 1 hour or more",severe weather,,84033,2022
april,2022-04-22 00:00:00,23:00:00,2022-04-24 00:00:00,16:00:00,north dakota,['mro'],uncontrolled loss of 300 megawatts or more of firm system loads for 15 minutes or more from a single incident,severe weather,1000,,2022
april,2022-04-22 00:00:00,23:16:00,2022-04-24 00:00:00,16:00:00,north dakota:mountrail county:williams county:ward county:burke county:bottineau county:mclean county:walsh county:bowman county:stark county:dunn county:mercer county:montana:wibaux county:richland county,"['wecc', 'mro']","unexpected transmission loss within its area, contrary to design, of three or more bulk electric system facilities caused by a common disturbance (excluding successful automatic reclosing).",severe weather,,,2022
april,2022-04-23 00:00:00,15:38:00,2022-04-24 00:00:00,04:00:00,north dakota:mountrail county:williams county,['mro'],uncontrolled loss of 300 megawatts or more of firm system loads for 15 minutes or more from a single incident,severe weather,480,18430,2022
april,2022-04-23 00:00:00,19:42:00,2022-04-24 00:00:00,16:17:00,iowa:polk county:warren county:illinois,"['serc', 'mro']","unexpected transmission loss within its area, contrary to design, of three or more bulk electric system facilities caused by a common disturbance (excluding successful automatic reclosing).",severe weather,43,22400,2022
april,2022-04-26 00:00:00,14:27:00,nat,,minnesota:chisago county,['mro'],damage or destruction of its facility that results from actual or suspected intentional human action.,vandalism,17,0,2022
april,2022-04-26 00:00:00,08:54:00,2022-04-26 00:00:00,08:55:00,california:sacramento county,['wecc'],physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,vandalism,0,0,2022
