event_month,date_event_began,time_event_began,restoration_date,restoration_time,area_affected,nerc_region_list,alert_criteria,event_type,demand_loss_(mw),number_of_customers_affected,year
june,2022-06-27 00:00:00,06:21:00,2022-06-27 00:00:00,07:26:00,texas,['texas re'],complete loss of monitoring or control capability at its staffed bulk electric system control center for 30 continuous minutes or more.,system operations,0,0,2022
june,2022-06-28 00:00:00,09:27:00,2022-06-28 00:00:00,10:42:00,texas:travis county,['texas re'],complete loss of monitoring or control capability at its staffed bulk electric system control center for 30 continuous minutes or more.,system operations,0,0,2022
june,2022-06-28 00:00:00,09:39:00,2022-06-28 00:00:00,09:40:00,kentucky:clark county,['serc'],"physical threat to its facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the facility. or suspicious device or activity at its facility.",suspicious activity,0,0,2022
june,2022-06-30 00:00:00,19:58:00,2022-06-30 00:00:00,20:50:00,michigan:wayne county,['rf'],unplanned evacuation from its bulk electric system control center facility for 30 continuous minutes or more. complete loss of monitoring or control capability at its staffed bulk electric system control center for 30 continuous minutes or more.,system operations,0,0,2022
july,2022-07-01 00:00:00,11:45:00,nat,,california:kern county,['wecc'],damage or destruction of its facility that results from actual or suspected intentional human action.,vandalism,20,0,2022
july,2022-07-03 00:00:00,10:30:00,2022-07-03 00:00:00,10:40:00,california:contra costa county,['wecc'],physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,vandalism,0,0,2022
july,2022-07-03 00:00:00,05:18:00,2022-07-03 00:00:00,08:24:00,oklahoma,['mro'],physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,vandalism,0,0,2022
july,2022-07-03 00:00:00,11:02:00,nat,,california:kern county,['wecc'],damage or destruction of its facility that results from actual or suspected intentional human action.,actual physical attack,,1079,2022
july,2022-07-04 00:00:00,18:21:00,nat,,california:amador county,['wecc'],electrical system separation (islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,system operations,3,3001,2022
july,2022-07-05 00:00:00,08:00:00,2022-07-05 00:00:00,08:06:00,washington:pierce county:oregon:idaho:montana,['wecc'],damage or destruction of its facility that results from actual or suspected intentional human action.,actual physical attack,0,0,2022
july,2022-07-05 00:00:00,20:46:00,2022-07-05 00:00:00,21:40:00,iowa:illinois,"['rf', 'serc']",complete loss of monitoring or control capability at its staffed bulk electric system control center for 30 continuous minutes or more.,system operations,0,0,2022
july,2022-07-06 00:00:00,14:39:00,2022-07-07 00:00:00,03:54:00,ohio:kentucky,"['rf', 'serc']","loss of electric service to more than 50,000 customers for 1 hour or more",severe weather-transmission interruption,,104700,2022
july,2022-07-06 00:00:00,16:23:00,2022-07-06 00:00:00,16:35:00,virginia:fluvanna county,['serc'],"physical threat to its facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the facility. or suspicious device or activity at its facility.",suspicious activity,0,0,2022
july,2022-07-06 00:00:00,06:18:00,2022-07-06 00:00:00,06:19:00,kentucky:nelson county,['serc'],damage or destruction of its facility that results from actual or suspected intentional human action.,vandalism,0,0,2022
july,2022-07-06 00:00:00,12:40:00,2022-07-06 00:00:00,12:41:00,utah:california:oregon:douglas county,['wecc'],damage or destruction of its facility that results from actual or suspected intentional human action.,vandalism,0,0,2022
july,2022-07-06 00:00:00,01:58:00,nat,,oklahoma:okmulgee county,['mro'],damage or destruction of its facility that results from actual or suspected intentional human action.,actual physical attack,25,4836,2022
july,2022-07-09 00:00:00,02:47:00,2022-07-09 00:00:00,02:59:00,louisiana:rapides parish,['serc'],"unexpected transmission loss within its area, contrary to design, of three or more bulk electric system facilities caused by a common disturbance (excluding successful automatic reclosing).",system operations,,4724,2022
july,2022-07-10 00:00:00,21:00:00,2022-07-11 00:00:00,20:00:00,texas,['texas re'],public appeal to reduce the use of electricity for purposes of maintaining the continuity of the bulk electric system,system operations,,,2022
july,2022-07-11 00:00:00,10:20:00,nat,,california:los angeles county,['wecc'],damage or destruction of its facility that results from actual or suspected intentional human action.,vandalism,2,0,2022
july,2022-07-12 00:00:00,16:00:00,nat,,maryland:baltimore county:carroll county:harford county,['rf'],"loss of electric service to more than 50,000 customers for 1 hour or more",severe weather,800,165000,2022
july,2022-07-12 00:00:00,10:45:00,2022-07-12 00:00:00,11:00:00,washington:oregon:clatsop county:idaho:montana,['wecc'],damage or destruction of its facility that results from actual or suspected intentional human action.,actual physical attack,0,0,2022
july,2022-07-12 00:00:00,18:00:00,2022-07-12 00:00:00,22:00:00,district of columbia:maryland,['rf'],"loss of electric service to more than 50,000 customers for 1 hour or more",severe weather,,50200,2022
july,2022-07-13 00:00:00,11:30:00,2022-07-13 00:00:00,21:00:00,texas,['texas re'],public appeal to reduce the use of electricity for purposes of maintaining the continuity of the bulk electric system,system operations,,,2022
july,2022-07-13 00:00:00,10:00:00,2022-07-13 00:00:00,13:00:00,colorado:la plata county,['wecc'],damage or destruction of its facility that results from actual or suspected intentional human action.,vandalism,0,0,2022
july,2022-07-15 00:00:00,07:10:00,2022-07-15 00:00:00,07:11:00,nebraska:wayne county,['mro'],damage or destruction of its facility that results from actual or suspected intentional human action.,actual physical attack,0,0,2022
july,2022-07-18 00:00:00,09:15:00,nat,,south carolina,['serc'],fuel supply emergencies that could impact electric power system adequacy or reliability,fuel supply deficiency,4500,0,2022
july,2022-07-18 00:00:00,13:09:00,2022-07-18 00:00:00,13:11:00,oregon:josephine county,['wecc'],damage or destruction of its facility that results from actual or suspected intentional human action.,vandalism,0,0,2022
july,2022-07-19 00:00:00,15:42:00,2022-07-19 00:00:00,16:12:00,florida:palm beach county,['serc'],unplanned evacuation from its bulk electric system control center facility for 30 continuous minutes or more.,system operations,0,0,2022
july,2022-07-19 00:00:00,15:42:00,2022-07-19 00:00:00,16:12:00,florida:palm beach county,['serc'],unplanned evacuation from its bulk electric system control center facility for 30 continuous minutes or more.,system operations,0,0,2022
july,2022-07-23 00:00:00,20:45:00,2022-07-24 00:00:00,11:30:00,michigan:muskegon county:ottawa county:kent county:montcalm county:ionia county:allegan county:van buren county:kalamazoo county:barry county:mason county:shiawassee county:ingham county:genesee county:saginaw county:midland county:wexford county:grand traverse county,['rf'],"loss of electric service to more than 50,000 customers for 1 hour or more",severe weather,,93750,2022
july,2022-07-25 00:00:00,00:38:00,2022-07-25 00:00:00,13:46:00,pennsylvania:erie county,['rf'],"unexpected transmission loss within its area, contrary to design, of three or more bulk electric system facilities caused by a common disturbance (excluding successful automatic reclosing).",transmission interruption,0,0,2022
july,2022-07-26 00:00:00,06:38:00,2022-07-26 00:00:00,12:57:00,texas:hays county,['texas re'],"unexpected transmission loss within its area, contrary to design, of three or more bulk electric system facilities caused by a common disturbance (excluding successful automatic reclosing).",system operations,0,0,2022
july,2022-07-26 00:00:00,04:20:00,2022-07-26 00:00:00,04:57:00,california:santa barbara county,['wecc'],damage or destruction of its facility that results from actual or suspected intentional human action.,suspicious activity,,,2022
july,2022-07-26 00:00:00,21:00:00,2022-07-26 00:00:00,21:20:00,pennsylvania:york county,['rf'],"physical threat to its facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the facility. or suspicious device or activity at its facility.",suspicious activity,0,0,2022
july,2022-07-28 00:00:00,19:25:00,2022-07-28 00:00:00,22:41:00,california:placer county,['wecc'],"damage or destruction of its facility that results from actual or suspected intentional human action. physical threat to its facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the facility. or suspicious device or activity at its facility.",actual physical attack,0,0,2022
july,2022-07-29 00:00:00,02:00:00,2022-07-29 00:00:00,02:01:00,pennsylvania:york county,['rf'],"physical threat to its facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the facility. or suspicious device or activity at its facility.",suspicious activity,0,0,2022
july,2022-07-30 00:00:00,19:35:00,2022-08-01 00:00:00,13:17:00,california:shasta county,['wecc'],unplanned evacuation from its bulk electric system control center facility for 30 continuous minutes or more.,system operations,0,0,2022
july,2022-07-31 00:00:00,06:36:00,2022-07-31 00:00:00,07:13:00,new york:saratoga county,['npcc'],complete loss of monitoring or control capability at its staffed bulk electric system control center for 30 continuous minutes or more.,system operations,0,0,2022
august,2022-08-01 00:00:00,09:44:00,2022-08-01 00:00:00,09:45:00,georgia:dekalb county,['serc'],damage or destruction of its facility that results from actual or suspected intentional human action.,vandalism,0,0,2022
august,2022-08-01 00:00:00,08:03:00,2022-08-01 00:00:00,09:00:00,california:los angeles county,['wecc'],damage or destruction of its facility that results from actual or suspected intentional human action.,actual physical attack,0,0,2022
august,2022-08-03 00:00:00,02:00:00,2022-08-03 00:00:00,03:07:00,texas:cameron county,['texas re'],"physical threat to its facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the facility. or suspicious device or activity at its facility.",suspicious activity,0,0,2022
august,2022-08-03 00:00:00,02:30:00,nat,,minnesota:wisconsin,"['mro', 'rf']","loss of electric service to more than 50,000 customers for 1 hour or more",severe weather,,80000,2022
august,2022-08-03 00:00:00,19:00:00,2022-08-05 00:00:00,08:53:00,michigan:wayne county:washtenaw county:st. clair county:macomb county:monroe county:oakland county,['rf'],"loss of electric service to more than 50,000 customers for 1 hour or more",severe weather,,71000,2022
august,2022-08-03 00:00:00,17:00:00,2022-08-03 00:00:00,20:30:00,michigan:allegan county:van buren county:barry county:kalamazoo county:calhoun county:jackson county:calhoun county:washtenaw county,['rf'],"loss of electric service to more than 50,000 customers for 1 hour or more",severe weather,,91264,2022
august,2022-08-04 00:00:00,18:00:00,2022-08-05 00:00:00,02:00:00,maryland:anne arundel county:baltimore county:baltimore:city of,['rf'],"loss of electric service to more than 50,000 customers for 1 hour or more",severe weather,,75500,2022
august,2022-08-05 00:00:00,14:52:00,2022-08-05 00:00:00,16:41:00,washington:lewis county,['wecc'],damage or destruction of its facility that results from actual or suspected intentional human action.,vandalism,0,0,2022
august,2022-08-05 00:00:00,02:00:00,2022-08-05 00:00:00,06:30:00,washington,['wecc'],"physical threat to its facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the facility. or suspicious device or activity at its facility.",actual physical attack,3,350,2022
august,2022-08-09 00:00:00,15:18:00,2022-08-09 00:00:00,15:19:00,washington:kitsap county,['wecc'],damage or destruction of its facility that results from actual or suspected intentional human action.,vandalism,0,0,2022
august,2022-08-09 00:00:00,16:42:00,2022-08-09 00:00:00,22:12:00,ohio,['rf'],"loss of electric service to more than 50,000 customers for 1 hour or more",system operations,,62464,2022
august,2022-08-09 00:00:00,02:29:00,2022-08-09 00:00:00,03:00:00,missouri,['serc'],complete loss of monitoring or control capability at its staffed bulk electric system control center for 30 continuous minutes or more.,system operations,0,0,2022
august,2022-08-09 00:00:00,12:12:00,2022-08-09 00:00:00,13:08:00,florida:palm beach county,['serc'],unplanned evacuation from its bulk electric system control center facility for 30 continuous minutes or more.,system operations,0,0,2022
august,2022-08-09 00:00:00,12:12:00,2022-08-09 00:00:00,13:08:00,florida:palm beach county,['serc'],unplanned evacuation from its bulk electric system control center facility for 30 continuous minutes or more.,system operations,0,0,2022
august,2022-08-10 00:00:00,01:25:00,2022-08-10 00:00:00,01:30:00,arkansas:lawrence county,['serc'],"unexpected transmission loss within its area, contrary to design, of three or more bulk electric system facilities caused by a common disturbance (excluding successful automatic reclosing).",severe weather,24,0,2022
august,2022-08-10 00:00:00,15:00:00,2022-08-10 00:00:00,15:01:00,alabama:jefferson county,['serc'],damage or destruction of its facility that results from actual or suspected intentional human action.,vandalism,0,0,2022
august,2022-08-10 00:00:00,19:56:00,2022-08-11 00:00:00,20:00:00,texas:harris county,['texas re'],"loss of electric service to more than 50,000 customers for 1 hour or more",severe weather,,140464,2022
august,2022-08-12 00:00:00,14:46:00,2022-08-12 00:00:00,14:47:00,georgia:sumter county,['serc'],damage or destruction of its facility that results from actual or suspected intentional human action.,vandalism,0,0,2022
august,2022-08-15 00:00:00,23:43:00,2022-08-16 00:00:00,07:14:00,wyoming:nebraska,"['wecc', 'mro']","unexpected transmission loss within its area, contrary to design, of three or more bulk electric system facilities caused by a common disturbance (excluding successful automatic reclosing).",transmission interruption,0,5000,2022
august,2022-08-15 00:00:00,09:08:00,2022-08-15 00:00:00,09:10:00,nevada:clark county,['wecc'],damage or destruction of its facility that results from actual or suspected intentional human action.,vandalism,0,0,2022
august,2022-08-15 00:00:00,10:24:00,2022-08-15 00:00:00,12:49:00,new jersey:gloucester county,['rf'],physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,transmission interruption,,0,2022
august,2022-08-18 00:00:00,18:05:00,2022-08-18 00:00:00,21:39:00,ohio:franklin county,['rf'],complete loss of monitoring or control capability at its staffed bulk electric system control center for 30 continuous minutes or more.,system operations,,,2022
august,2022-08-19 00:00:00,17:40:00,2022-08-19 00:00:00,17:41:00,massachusetts:bristol county,['npcc'],damage or destruction of its facility that results from actual or suspected intentional human action.,actual physical attack,0,0,2022
august,2022-08-19 00:00:00,22:00:00,2022-08-20 00:00:00,11:30:00,washington:clark county,['wecc'],cyber event that could potentially impact electric power system adequacy or reliability,cyber event,0,0,2022
august,2022-08-22 00:00:00,09:47:00,2022-08-22 00:00:00,09:48:00,california:los angeles county,['wecc'],damage or destruction of its facility that results from actual or suspected intentional human action.,vandalism,0,0,2022
august,2022-08-22 00:00:00,12:46:00,2022-08-22 00:00:00,13:09:00,texas:dewitt county,['texas re'],"unexpected transmission loss within its area, contrary to design, of three or more bulk electric system facilities caused by a common disturbance (excluding successful automatic reclosing).",system operations,24,6385,2022
august,2022-08-22 00:00:00,20:40:00,2022-08-22 00:00:00,21:57:00,texas:el paso county,['texas re'],"unexpected transmission loss within its area, contrary to design, of three or more bulk electric system facilities caused by a common disturbance (excluding successful automatic reclosing).",severe weather,0,0,2022
august,2022-08-24 00:00:00,14:20:00,2022-08-24 00:00:00,14:21:00,california:los angeles county,['wecc'],damage or destruction of its facility that results from actual or suspected intentional human action.,vandalism,0,0,2022
august,2022-08-25 00:00:00,00:59:00,2022-08-25 00:00:00,01:00:00,california:san diego county,['wecc'],physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,vandalism,0,0,2022
august,2022-08-25 00:00:00,00:59:00,2022-08-25 00:00:00,01:00:00,california:san diego county,['wecc'],physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,vandalism,0,0,2022
august,2022-08-26 00:00:00,11:09:00,2022-08-26 00:00:00,11:10:00,california:los angeles county,['wecc'],damage or destruction of its facility that results from actual or suspected intentional human action.,vandalism,0,0,2022
august,2022-08-27 00:00:00,02:21:00,2022-08-27 00:00:00,19:14:00,maine,['npcc'],complete loss of monitoring or control capability at its staffed bulk electric system control center for 30 continuous minutes or more.,system operations,0,0,2022
august,2022-08-28 00:00:00,04:59:00,2022-08-28 00:00:00,06:06:00,new york:broome county,['npcc'],complete loss of monitoring or control capability at its staffed bulk electric system control center for 30 continuous minutes or more.,system operations,0,0,2022
august,2022-08-29 00:00:00,15:00:00,2022-09-01 00:00:00,09:00:00,michigan:ottawa county:allegan county:van buren county:montcalm county:kent county:barry county:kalamazoo county:st. joseph county:branch county:hillsdale county:calhoun county:jackson county:eaton county:clinton county:shiawassee county:montcalm county:isabella county:mecosta county:midland county,['rf'],"loss of electric service to more than 50,000 customers for 1 hour or more",severe weather,,197740,2022
august,2022-08-29 00:00:00,17:50:00,nat,,michigan,['rf'],"loss of electric service to more than 50,000 customers for 1 hour or more",severe weather,,,2022
august,2022-08-29 00:00:00,10:45:00,2022-08-29 00:00:00,11:45:00,texas:collin county,['texas re'],"physical threat to its facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the facility. or suspicious device or activity at its facility.",suspicious activity,0,0,2022
august,2022-08-31 00:00:00,09:58:00,2022-08-31 00:00:00,12:15:00,florida:duval county,['serc'],"physical threat to its facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the facility. or suspicious device or activity at its facility.",vandalism,10,3000,2022
september,2022-09-01 00:00:00,15:00:00,2022-09-01 00:00:00,21:00:00,california:shasta county,['wecc'],public appeal to reduce the use of electricity for purposes of maintaining the continuity of the bulk electric system,severe weather,242,44000,2022
september,2022-09-04 00:00:00,16:00:00,2022-09-06 00:00:00,08:00:00,texas:tarrant county:collin county:dallas county:ellis county:kaufman county:rockwall county:williamson county:denton county:archer county,['texas re'],"loss of electric service to more than 50,000 customers for 1 hour or more",severe weather,,190000,2022
september,2022-09-04 00:00:00,18:50:00,2022-09-05 00:00:00,02:45:00,california:kings county,['wecc'],cyber event that could potentially impact electric power system adequacy or reliability,cyber event,0,0,2022
september,2022-09-05 00:00:00,06:05:00,2022-09-05 00:00:00,21:00:00,california:sacramento county,['wecc'],public appeal to reduce the use of electricity for purposes of maintaining the continuity of the bulk electric system,system operations,,0,2022
september,2022-09-06 00:00:00,16:30:00,2022-09-07 00:00:00,00:30:00,california:san diego county,['wecc'],physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,vandalism,0,0,2022
september,2022-09-06 00:00:00,06:00:00,2022-09-06 00:00:00,06:22:00,texas:cameron county,['texas re'],"physical threat to its facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the facility. or suspicious device or activity at its facility.",suspicious activity,0,0,2022
september,2022-09-06 00:00:00,10:34:00,2022-09-06 00:00:00,21:00:00,california:sacramento county,['wecc'],public appeal to reduce the use of electricity for purposes of maintaining the continuity of the bulk electric system,system operations,,0,2022
september,2022-09-06 00:00:00,16:00:00,2022-09-06 00:00:00,21:00:00,california:shasta county,['wecc'],public appeal to reduce the use of electricity for purposes of maintaining the continuity of the bulk electric system,severe weather,272,44000,2022
september,2022-09-06 00:00:00,19:20:00,2022-09-06 00:00:00,21:01:00,idaho:oregon,['wecc'],public appeal to reduce the use of electricity for purposes of maintaining the continuity of the bulk electric system,system operations,,,2022
september,2022-09-06 00:00:00,17:00:00,2022-09-06 00:00:00,20:00:00,nevada:clark county:washoe county,['wecc'],public appeal to reduce the use of electricity for purposes of maintaining the continuity of the bulk electric system,system operations,8800,1300000,2022
september,2022-09-07 00:00:00,13:45:00,2022-09-07 00:00:00,19:00:00,florida:alachua county,['serc'],complete loss of monitoring or control capability at its staffed bulk electric system control center for 30 continuous minutes or more.,cyber event,0,0,2022
september,2022-09-07 00:00:00,11:31:00,2022-09-07 00:00:00,21:00:00,california:sacramento county,['wecc'],public appeal to reduce the use of electricity for purposes of maintaining the continuity of the bulk electric system,system operations,,0,2022
september,2022-09-07 00:00:00,13:00:00,nat,,california:imperial county,['wecc'],physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,vandalism,0,0,2022
september,2022-09-07 00:00:00,17:00:00,2022-09-07 00:00:00,20:00:00,nevada:clark county:washoe county,['wecc'],public appeal to reduce the use of electricity for purposes of maintaining the continuity of the bulk electric system,system operations,8600,1300000,2022
september,2022-09-07 00:00:00,16:00:00,2022-09-07 00:00:00,21:00:00,california:shasta county,['wecc'],public appeal to reduce the use of electricity for purposes of maintaining the continuity of the bulk electric system,severe weather,257,44000,2022
september,2022-09-08 00:00:00,10:52:00,2022-09-09 00:00:00,21:00:00,california:sacramento county,['wecc'],public appeal to reduce the use of electricity for purposes of maintaining the continuity of the bulk electric system,system operations,,0,2022
september,2022-09-08 00:00:00,11:54:00,2022-09-08 00:00:00,21:00:00,california:shasta county,['wecc'],public appeal to reduce the use of electricity for purposes of maintaining the continuity of the bulk electric system,severe weather,258,44000,2022
september,2022-09-08 00:00:00,17:00:00,2022-09-08 00:00:00,20:00:00,nevada:clark county:washoe county,['wecc'],public appeal to reduce the use of electricity for purposes of maintaining the continuity of the bulk electric system,system operations,8250,1300000,2022
september,2022-09-09 00:00:00,16:00:00,2022-09-09 00:00:00,21:00:00,california:shasta county,['wecc'],public appeal to reduce the use of electricity for purposes of maintaining the continuity of the bulk electric system,severe weather,257,44000,2022
september,2022-09-10 00:00:00,22:30:00,2022-09-10 00:00:00,22:31:00,indiana:spencer county,['rf'],"physical threat to its facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the facility. or suspicious device or activity at its facility.",suspicious activity,,,2022
september,2022-09-11 00:00:00,18:19:00,2022-09-11 00:00:00,22:28:00,texas:fayette county,['texas re'],"unexpected transmission loss within its area, contrary to design, of three or more bulk electric system facilities caused by a common disturbance (excluding successful automatic reclosing).",transmission interruption,0,0,2022
september,2022-09-13 00:00:00,19:55:00,2022-09-13 00:00:00,20:01:00,texas:el paso county,['texas re'],"unexpected transmission loss within its area, contrary to design, of three or more bulk electric system facilities caused by a common disturbance (excluding successful automatic reclosing).",severe weather,0,0,2022
september,2022-09-15 00:00:00,19:52:00,2022-09-15 00:00:00,21:31:00,texas:fayette county,['texas re'],"unexpected transmission loss within its area, contrary to design, of three or more bulk electric system facilities caused by a common disturbance (excluding successful automatic reclosing).",transmission interruption,0,0,2022
september,2022-09-16 00:00:00,18:30:00,2022-09-16 00:00:00,23:15:00,oregon:multnomah county:washington:clark county,['wecc'],complete loss of interpersonal communication and alternative interpersonal communication capability affecting its staffed bulk electric system control center for 30 continuous minutes or more.,transmission interruption,0,0,2022
september,2022-09-16 00:00:00,18:00:00,2022-09-16 00:00:00,18:01:00,utah,['wecc'],damage or destruction of its facility that results from actual or suspected intentional human action.,suspicious activity,0,0,2022
september,2022-09-21 00:00:00,16:19:00,2022-09-21 00:00:00,18:01:00,texas:louisiana:arkansas:jefferson county:mississippi,"['texas re', 'serc']",damage or destruction of its facility that results from actual or suspected intentional human action.,vandalism,,1521,2022
september,2022-09-22 00:00:00,03:58:00,2022-09-22 00:00:00,04:00:00,florida:pinellas county:pasco county:orange county:lake county,['serc'],"physical threat to its facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the facility. or suspicious device or activity at its facility.",vandalism,,,2022
september,2022-09-22 00:00:00,10:02:00,2022-09-22 00:00:00,11:00:00,california:los angeles county,['wecc'],damage or destruction of its facility that results from actual or suspected intentional human action.,vandalism,1,0,2022
september,2022-09-23 00:00:00,10:10:00,2022-09-23 00:00:00,11:00:00,california:los angeles county,['wecc'],damage or destruction of its facility that results from actual or suspected intentional human action.,vandalism,2,0,2022
september,2022-09-27 00:00:00,08:42:00,2022-09-27 00:00:00,10:00:00,california:los angeles county,['wecc'],damage or destruction of its facility that results from actual or suspected intentional human action.,vandalism,1,0,2022
september,2022-09-28 00:00:00,15:00:00,2022-10-03 00:00:00,15:53:00,florida:alachua county:bay county:citrus county:columbia county:dixie county:franklin county:gilchrist county:gulf county:hamilton county:hardee county:hernando county:highlands county:jefferson county:lafayette county:lake county:levy county:madison county:marion county:orange county:osceola county:pasco county:pinellas county:polk county:seminole county:sumter county:suwannee county:taylor county:volusia county:wakulla county,['serc'],"loss of electric service to more than 50,000 customers for 1 hour or more",severe weather,,676000,2022
september,2022-09-28 00:00:00,18:00:00,2022-09-30 00:00:00,15:20:00,florida,['serc'],"loss of electric service to more than 50,000 customers for 1 hour or more",severe weather,1000,116937,2022
september,2022-09-28 00:00:00,15:00:00,nat,,florida:hillsborough county:polk county:pasco county:pinellas county,['serc'],"loss of electric service to more than 50,000 customers for 1 hour or more",severe weather,750,291361,2022
september,2022-09-29 00:00:00,04:00:00,2022-10-03 00:00:00,00:00:00,florida:orange county:osceola county,['serc'],"loss of electric service to more than 50,000 customers for 1 hour or more",severe weather,0,0,2022
september,2022-09-29 00:00:00,03:27:00,nat,,florida:polk county,['serc'],"loss of electric service to more than 50,000 customers for 1 hour or more",severe weather,150,15797,2022
september,2022-09-30 00:00:00,18:30:00,2022-10-01 00:00:00,18:36:00,north carolina:south carolina,['serc'],"loss of electric service to more than 50,000 customers for 1 hour or more",severe weather,,154100,2022
september,2022-09-30 00:00:00,13:46:00,2022-09-30 00:00:00,18:09:00,south carolina,['serc'],"loss of electric service to more than 50,000 customers for 1 hour or more",severe weather,,108930,2022
september,2022-09-30 00:00:00,02:45:00,2022-10-01 00:00:00,16:15:00,north carolina,['serc'],"loss of electric service to more than 50,000 customers for 1 hour or more",severe weather,,48323,2022
september,2022-09-30 00:00:00,11:00:00,2022-09-30 00:00:00,12:00:00,california:los angeles county,['wecc'],damage or destruction of its facility that results from actual or suspected intentional human action.,vandalism,2,0,2022
october,2022-10-03 00:00:00,06:00:00,2022-10-04 00:00:00,07:00:00,alabama:barbour county:virginia,['serc'],damage or destruction of its facility that results from actual or suspected intentional human action.,suspicious activity,0,0,2022
october,2022-10-03 00:00:00,13:45:00,2022-10-03 00:00:00,14:30:00,california:los angeles county,['wecc'],damage or destruction of its facility that results from actual or suspected intentional human action.,vandalism,1,0,2022
october,2022-10-08 00:00:00,16:23:00,2022-10-08 00:00:00,16:50:00,new york:queens county,['npcc'],"physical threat to its bulk electric system control center, excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the control center. or suspicious device or activity at its bulk electric system control center.",suspicious activity,100,0,2022
october,2022-10-10 00:00:00,15:50:00,2022-10-10 00:00:00,16:05:00,texas:louisiana:arkansas:pope county:mississippi,"['texas re', 'serc']",damage or destruction of its facility that results from actual or suspected intentional human action.,vandalism,,0,2022
october,2022-10-13 00:00:00,10:00:00,2022-10-13 00:00:00,11:00:00,california:los angeles county,['wecc'],damage or destruction of its facility that results from actual or suspected intentional human action.,vandalism,1,0,2022
october,2022-10-14 00:00:00,13:15:00,2022-10-14 00:00:00,17:45:00,connecticut:massachusetts:maine:rhode island:new hampshire:vermont,['npcc'],"loss of electric service to more than 50,000 customers for 1 hour or more",sever weather,,76388,2022
october,2022-10-14 00:00:00,13:30:00,nat,,texas:bee county,['texas re'],reportable cyber security incident,cyber event,0,0,2022
october,2022-10-15 00:00:00,09:52:00,2022-10-15 00:00:00,10:23:00,arizona:maricopa county,['wecc'],unplanned evacuation from its bulk electric system control center facility for 30 continuous minutes or more.,system operations,0,0,2022
october,2022-10-15 00:00:00,20:04:00,2022-10-18 00:00:00,16:03:00,louisiana:lafourche parish,['serc'],"unexpected transmission loss within its area, contrary to design, of three or more bulk electric system facilities caused by a common disturbance (excluding successful automatic reclosing).",system operations,69,16225,2022
october,2022-10-18 00:00:00,15:12:00,nat,,texas:louisiana:arkansas:pope county:mississippi,"['texas re', 'serc']",damage or destruction of its facility that results from actual or suspected intentional human action.,vandalism,,,2022
october,2022-10-21 00:00:00,11:15:00,2022-10-21 00:00:00,11:18:00,california:trinity county,['wecc'],"physical threat to its facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the facility. or suspicious device or activity at its facility.",suspicious activity,0,0,2022
october,2022-10-24 00:00:00,00:00:00,2022-10-28 00:00:00,00:00:00,massachusetts:essex county,['npcc'],reportable cyber security incident,cyber event,0,0,2022
october,2022-10-24 00:00:00,16:29:00,2022-10-24 00:00:00,18:05:00,texas:new mexico:chaves county,"['texas re', 'wecc']","unexpected transmission loss within its area, contrary to design, of three or more bulk electric system facilities caused by a common disturbance (excluding successful automatic reclosing).",system operations,34,7551,2022
october,2022-10-25 00:00:00,01:45:00,2022-10-25 00:00:00,13:50:00,texas:harris county,['texas re'],"loss of electric service to more than 50,000 customers for 1 hour or more",system operations,,109865,2022
october,2022-10-26 00:00:00,19:32:00,2022-10-26 00:00:00,20:38:00,texas,['texas re'],complete loss of monitoring or control capability at its staffed bulk electric system control center for 30 continuous minutes or more.,system operations,0,0,2022
october,2022-10-27 00:00:00,00:01:00,2022-10-27 00:00:00,13:00:00,arkansas,['serc'],damage or destruction of its facility that results from actual or suspected intentional human action.,vandalism,,0,2022
october,2022-10-28 00:00:00,14:16:00,2022-10-28 00:00:00,15:00:00,california:los angeles county,['wecc'],damage or destruction of its facility that results from actual or suspected intentional human action.,vandalism,2,0,2022
october,2022-10-31 00:00:00,21:14:00,2022-10-31 00:00:00,22:14:00,louisiana,['serc'],damage or destruction of its facility that results from actual or suspected intentional human action.,suspicious activity,,0,2022
